table,training_profile,group,setting,heros_acc,top_rules,ideal_pct,match_rules,evidence_recall,hallucination_rate,rule_coverage,causal_overclaim_rate,audience_understandability,audience_technical_fit,flesch_reading_ease,flesch_kincaid_grade_level,word_count
dataset_profile,Minimal,Dataset,MUX6,100.0,8,100.0,1.00,100.0,16.0,100.0,0.0,0.902,0.873,,,90.78
dataset_profile,Extensive,Dataset,MUX6,100.0,8,100.0,1.00,100.0,18.3,100.0,0.0,0.888,0.868,,,90.42
dataset_profile,Minimal,Dataset,MUX11,81.2,56,18.8,4.86,94.4,5.7,99.9,17.0,0.827,0.833,,,126.11
dataset_profile,Extensive,Dataset,MUX11,98.8,24,87.5,2.24,99.4,18.3,100.0,9.0,0.842,0.846,,,102.73
dataset_profile,Minimal,Dataset,MUX20,60.1,54,0.0,12.34,73.7,12.0,94.3,32.0,0.796,0.818,,,139.74
dataset_profile,Extensive,Dataset,MUX20,63.2,69,0.0,12.88,68.6,8.7,93.0,34.0,0.813,0.829,,,141.01
pooled_profile,Minimal,Experiment,1,,,,,88.6,10.2,97.7,16.4,0.841,0.841,56.75,10.67,116.28
pooled_profile,Minimal,Experiment,2,,,,,90.2,12.2,98.4,16.2,0.843,0.842,55.70,10.83,121.47
pooled_profile,Extensive,Experiment,1,,,,,89.2,14.2,97.7,15.8,0.846,0.848,56.96,10.46,109.10
pooled_profile,Extensive,Experiment,2,,,,,89.4,16.0,97.6,12.9,0.849,0.848,55.97,10.73,113.67
pooled_profile,Minimal,Audience,Layman,,,,,86.6,2.7,97.1,4.3,0.780,0.691,54.78,10.82,82.97
pooled_profile,Minimal,Audience,Clinician,,,,,88.5,3.0,97.9,32.3,0.839,0.876,52.60,11.91,121.51
pooled_profile,Minimal,Audience,Expert,,,,,93.0,28.0,99.2,12.3,0.906,0.958,61.30,9.53,152.16
pooled_profile,Extensive,Audience,Layman,,,,,86.2,6.7,97.1,3.0,0.786,0.691,55.72,10.71,79.33
pooled_profile,Extensive,Audience,Clinician,,,,,88.4,3.0,97.2,29.3,0.855,0.881,52.47,11.77,114.51
pooled_profile,Extensive,Audience,Expert,,,,,93.3,35.7,98.7,10.7,0.902,0.972,61.20,9.31,140.32
